"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-May-2024","EQ","610.00","615.05","596.15","608.10","603.50","604.70","606.79","646.90","214.00","31,25,576","1,89,65,52,804.40","65,722"
"02-May-2024","EQ","618.00","624.60","604.70","612.45","606.80","608.10","612.24","646.90","214.00","58,88,418","3,60,51,17,404.00","1,07,767"
"30-Apr-2024","EQ","600.00","622.80","594.25","596.10","615.00","612.45","611.84","646.90","214.00","58,63,929","3,58,78,11,180.60","1,12,311"
"29-Apr-2024","EQ","599.40","600.00","591.55","591.60","595.90","596.10","594.10","646.90","214.00","18,49,778","1,09,89,46,631.75","46,055"
"26-Apr-2024","EQ","597.75","601.65","587.05","592.35","593.00","591.60","592.39","646.90","194.40","19,03,380","1,12,75,43,740.95","44,702"
"25-Apr-2024","EQ","594.60","596.00","589.25","596.50","592.80","592.35","591.81","646.90","194.40","15,12,574","89,51,55,359.70","50,953"
"24-Apr-2024","EQ","601.00","604.90","589.60","602.45","596.00","596.50","597.40","646.90","194.40","12,84,543","76,73,83,746.80","32,910"
"23-Apr-2024","EQ","600.00","608.00","599.00","596.90","603.30","602.45","604.05","646.90","194.40","17,08,627","1,03,20,98,307.35","50,047"
"22-Apr-2024","EQ","608.25","609.70","595.50","594.55","596.65","596.90","600.19","646.90","194.40","12,64,700","75,90,58,793.25","34,134"
"19-Apr-2024","EQ","571.00","602.00","571.00","598.10","595.15","594.55","589.38","646.90","185.20","23,63,186","1,39,28,09,487.55","60,508"
"18-Apr-2024","EQ","611.95","616.00","595.00","601.60","600.15","598.10","604.19","646.90","185.20","26,84,316","1,62,18,36,270.45","63,416"
"16-Apr-2024","EQ","586.90","607.00","586.85","591.15","606.00","601.60","600.34","646.90","185.20","21,08,558","1,26,58,47,587.00","48,647"
"15-Apr-2024","EQ","589.00","611.80","568.25","595.20","591.00","591.15","591.74","646.90","185.20","44,99,953","2,66,27,91,570.05","1,10,330"
"12-Apr-2024","EQ","615.00","615.00","590.80","617.85","600.00","595.20","603.30","646.90","185.20","29,99,709","1,80,97,15,674.15","63,668"
"10-Apr-2024","EQ","621.40","621.90","610.00","616.35","615.55","617.85","615.63","646.90","185.20","15,18,665","93,49,31,410.30","32,629"
